시장,종목명,티커,신호일,종가,RSI,거래량배수,20일후종가,20일수익률%,60일후종가,60일수익률%,신호후최저가,최대낙폭%,-8%손절터치,전방봉수
KOSPI200,삼성E&A,028050,2022-02-09,24250.0,59.88,1.79,26600.0,9.69,26650.0,9.9,21950.0,-9.48,터치,60
KOSPI200,SK텔레콤,017670,2022-03-04,56400.0,57.36,1.64,58500.0,3.72,57100.0,1.24,55100.0,-2.3,미터치,60
NASDAQ100,Fortinet,FTNT,2022-03-18,63.99,55.42,1.54,66.08,3.27,53.85,-15.86,48.73,-23.86,터치,60
KOSPI200,KCC,002380,2022-04-21,345000.0,58.76,2.56,341500.0,-1.01,275000.0,-20.29,261500.0,-24.2,터치,60
NASDAQ100,Keurig Dr Pepper,KDP,2022-05-13,37.21,48.89,1.55,34.7,-6.75,39.7,6.69,33.35,-10.37,터치,60
KOSPI200,한일시멘트,300720,2022-05-25,20300.0,57.5,1.98,13600.0,-33.0,14600.0,-28.08,12400.0,-38.92,터치,60
KOSPI200,한화엔진,082740,2022-06-09,7272.0,50.84,1.99,7314.0,0.58,8390.0,15.37,6572.0,-9.63,터치,60
NASDAQ100,Exelon,EXC,2022-06-30,45.32,52.41,1.6,46.49,2.58,40.58,-10.46,40.18,-11.34,터치,60
KOSPI200,한미약품,128940,2022-09-13,293883.0,51.01,5.89,219208.0,-25.41,251487.0,-14.43,215352.0,-26.72,터치,60
KOSPI200,CJ제일제당,097950,2022-09-21,408500.0,57.21,2.23,398500.0,-2.45,376000.0,-7.96,370000.0,-9.42,터치,60
KOSPI200,삼양식품,003230,2022-09-27,114500.0,56.38,1.8,110500.0,-3.49,129000.0,12.66,99100.0,-13.45,터치,60
KOSPI200,율촌화학,008730,2022-10-04,30700.0,50.19,1.73,34250.0,11.56,37200.0,21.17,26200.0,-14.66,터치,60
KOSPI200,삼양식품,003230,2022-10-21,108500.0,51.08,2.25,104000.0,-4.15,120500.0,11.06,100500.0,-7.37,미터치,60
KOSPI200,율촌화학,008730,2022-12-07,33750.0,57.46,8.73,37150.0,10.07,46350.0,37.33,32750.0,-2.96,미터치,60
KOSPI200,세아제강지주,003030,2023-01-12,158000.0,54.58,2.48,158800.0,0.51,137500.0,-12.97,134100.0,-15.13,터치,60
KOSPI200,한화솔루션,009830,2023-01-12,56603.0,57.93,3.38,54073.0,-4.47,49048.0,-13.35,44756.0,-20.93,터치,60
KOSPI200,LG,003550,2023-01-13,81900.0,59.56,1.51,80900.0,-1.22,93500.0,14.16,79200.0,-3.3,미터치,60
KOSPI200,현대로템,064350,2023-01-13,28400.0,55.89,1.51,26400.0,-7.04,26850.0,-5.46,23700.0,-16.55,터치,60
KOSPI200,GS리테일,007070,2023-01-18,24290.0,52.02,1.71,25701.0,5.81,23434.0,-3.52,22451.0,-7.57,미터치,60
NASDAQ100,Linde plc,LIN,2023-01-19,324.54,48.73,1.53,323.5,-0.32,362.35,11.65,318.88,-1.74,미터치,60
NASDAQ100,Regeneron Pharmaceuticals,REGN,2023-01-20,722.0,49.32,1.57,748.74,3.7,808.01,11.91,718.34,-0.51,미터치,60
KOSPI200,LS,006260,2023-02-17,68900.0,54.9,1.61,70300.0,2.03,83800.0,21.63,66300.0,-3.77,미터치,60
KOSPI200,HD건설기계,267270,2023-02-17,56100.0,51.41,1.58,51800.0,-7.66,59000.0,5.17,48400.0,-13.73,터치,60
KOSPI200,NC,036570,2023-02-23,452500.0,53.46,1.57,378000.0,-16.46,388500.0,-14.14,352500.0,-22.1,터치,60
NASDAQ100,MicroStrategy,MSTR,2023-03-17,26.77,58.12,2.8,31.3,16.95,28.38,6.04,23.07,-13.8,터치,60
KOSPI200,호텔신라,008770,2023-03-23,78900.0,56.04,2.14,85500.0,8.37,72900.0,-7.6,71800.0,-9.0,터치,60
KOSPI200,포스코DX,022100,2023-03-27,6830.0,56.11,2.25,15010.0,119.77,16660.0,143.92,6820.0,-0.15,미터치,60
KOSPI200,HD건설기계,267270,2023-04-13,55900.0,59.97,3.18,62000.0,10.91,84500.0,51.16,53900.0,-3.58,미터치,60
KOSPI200,한전KPS,051600,2023-04-20,37500.0,55.77,1.52,35350.0,-5.73,32600.0,-13.07,31250.0,-16.67,터치,60
